service_id,date,exception_type
384517_320861,20251101,2
384517_320861,20251111,2
384517_320866,20251101,2
384517_320866,20251111,2
384517_321184,20251101,1
384517_321184,20251111,1
384517_321241,20251101,2
384517_321241,20251111,2
384517_322293,20251101,2
384517_322293,20251111,2
384517_322314,20251101,1
384517_322314,20251111,1
384517_322330,20251101,2
384517_322330,20251111,2
384517_322336,20251110,1
384517_322342,20251101,2
384517_322342,20251111,2
384517_322359,20251101,2
384517_322359,20251111,2
384517_322480,20251101,2
384517_322480,20251111,2
384517_322490,20251101,2
384517_322490,20251111,2
384517_322537,20251101,2
384517_322537,20251111,2
384517_322542,20251101,2
384517_322542,20251111,2
384517_322547,20251101,2
384517_322547,20251111,2
384517_322552,20251101,2
384517_322552,20251111,2
384517_322606,20251101,2
384517_322606,20251111,2
384517_322620,20251101,2
384517_322620,20251111,2
384517_322656,20251101,2
384517_322656,20251111,2
384517_322667,20251101,2
384517_322667,20251111,2
384517_322680,20251101,2
384517_322680,20251111,2
384517_322685,20251110,2
384517_322690,20251110,1
384517_322704,20251110,2
384517_322713,20251110,1
384517_322748,20251101,2
384517_322748,20251111,2
384517_322756,20251101,1
384517_322756,20251111,1
384518_320880,20251101,2
384518_320880,20251111,2
384518_323730,20251101,1
384518_323730,20251111,1
384518_323746,20251101,2
384518_323746,20251111,2
384518_323758,20251101,2
384518_323758,20251111,2
384518_323763,20251101,1
384518_323763,20251111,1
384518_323790,20251101,2
384518_323790,20251111,2
384518_323796,20251101,2
384518_323796,20251111,2
384518_323814,20251101,2
384518_323814,20251111,2
384518_323833,20251101,1
384518_323833,20251111,1
384518_323845,20251101,2
384518_323845,20251111,2
384518_323852,20251101,1
384518_323852,20251111,1
384518_323889,20251101,1
384518_323889,20251111,1
384518_323894,20251101,2
384518_323894,20251111,2
384518_323903,20251101,1
384518_323903,20251111,1
384518_323910,20251101,2
384518_323910,20251111,2
384518_323915,20251101,1
384518_323915,20251111,1
384518_323926,20251101,2
384518_323926,20251111,2
384518_323931,20251101,2
384518_323931,20251111,2
384518_323937,20251101,2
384518_323937,20251111,2
384518_323967,20251101,2
384518_323967,20251111,2
384518_323972,20251101,2
384518_323972,20251111,2
384520_320988,20251101,1
384520_320988,20251111,1
384521_321002,20251101,1
384521_321002,20251111,1
384522_321019,20251101,1
384522_321019,20251111,1
384524_321062,20251101,2
384524_321062,20251111,2
384524_321078,20251101,2
384524_321078,20251111,2
384524_321310,20251101,2
384524_321310,20251111,2
384524_321354,20251101,1
384524_321354,20251111,1
384524_321395,20251101,2
384524_321395,20251111,2
384524_321487,20251111,2
384524_321493,20251101,1
384524_321493,20251111,1
384524_321500,20251101,2
384524_321500,20251111,2
384524_323277,20251101,2
384524_323277,20251111,2
384525_324483,20251101,1
384525_324483,20251111,1
384525_324507,20251101,2
384525_324507,20251111,2
384525_324524,20251101,2
384525_324524,20251111,2
384525_324558,20251101,2
384525_324558,20251111,2
384525_324570,20251101,2
384525_324570,20251111,2
384525_324600,20251101,1
384525_324600,20251111,1
384525_324601,20251101,2
384525_324601,20251111,2
384525_324613,20251101,1
384525_324613,20251111,1
384525_324617,20251101,2
384525_324617,20251111,2
384525_324632,20251101,2
384525_324632,20251111,2
384525_324642,20251101,2
384525_324642,20251111,2
384525_324648,20251101,2
384525_324648,20251111,2
384525_324653,20251101,2
384525_324653,20251111,2
384526_321128,20251110,1
384526_321224,20251101,2
384526_321224,20251111,2
384526_321681,20251101,2
384526_321681,20251111,2
384526_321697,20251112,1
384526_321702,20251101,2
384526_321702,20251111,2
384526_324006,20251101,2
384526_324006,20251111,2
384526_324031,20251101,2
384526_324031,20251111,2
384526_324042,20251101,1
384526_324042,20251111,1
384526_324055,20251101,2
384526_324055,20251111,2
384526_324064,20251101,1
384526_324064,20251111,1
384526_324137,20251101,2
384526_324137,20251111,2
384526_324180,20251101,2
384526_324180,20251111,2
384526_324245,20251101,2
384526_324245,20251111,2
384529_321206,20251101,2
384529_321206,20251111,2
384529_322277,20251101,1
384529_322277,20251111,1
384529_322286,20251101,1
384529_322286,20251111,1
384529_322324,20251101,1
384529_322324,20251111,1
384529_322347,20251101,1
384529_322347,20251111,1
384529_322353,20251101,1
384529_322353,20251111,1
384530_321191,20251101,1
384530_321191,20251111,1
384530_321512,20251101,2
384530_321512,20251111,2
384530_321518,20251101,1
384530_321518,20251111,1
384530_321524,20251101,2
384530_321524,20251111,2
384530_321530,20251101,2
384530_321530,20251111,2
384530_321550,20251101,2
384530_321550,20251111,2
384530_321566,20251101,2
384530_321566,20251111,2
384530_321578,20251101,2
384530_321578,20251111,2
384530_321584,20251101,1
384530_321584,20251111,1
384530_321590,20251101,2
384530_321590,20251111,2
384530_321617,20251101,2
384530_321617,20251111,2
384530_321629,20251101,2
384530_321629,20251111,2
384532_321247,20251101,2
384532_321247,20251111,2
384532_323752,20251101,1
384532_323752,20251111,1
384532_323856,20251101,2
384532_323856,20251111,2
384532_323860,20251101,1
384532_323860,20251111,1
384543_321798,20251101,2
384543_321798,20251111,2
384543_324143,20251101,2
384543_324143,20251111,2
384543_324474,20251101,1
384543_324474,20251111,1
384543_324478,20251111,2
384543_324478,20251101,2
384550_321800,20251101,2
384550_321800,20251111,2
384550_321818,20251101,2
384550_321818,20251111,2
384550_321833,20251101,2
384550_321833,20251111,2
384550_321852,20251101,2
384550_321852,20251111,2
384550_321855,20251111,1
384550_321855,20251101,1
384550_321858,20251111,2
384550_321858,20251101,2
384553_324697,20251101,1
384553_324697,20251111,1
384561_321994,20251016,2
384561_321994,20251015,2
